2024-07-03 23:40:13.423 INFO  11248 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-03 23:40:39.116 INFO  11248 --- [main] ElementInteractionUtils : Test report opened in browser: C:\Users\Abhijeet\git\SynergyWorks\extentReports\2024_07_03_23_40_09_extentReport.html
2024-07-03 23:45:22.653 INFO  11664 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-03 23:45:22.896 INFO  11664 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-03 23:45:22.937 INFO  11664 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-03 23:45:22.975 INFO  11664 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)
2024-07-03 23:45:23.999 INFO  11664 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-03 23:45:25.147 INFO  11664 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)] -> id: username]
2024-07-03 23:45:25.342 INFO  11664 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)] -> id: password]
2024-07-03 23:45:41.998 INFO  11664 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-03 23:45:42.125 INFO  11664 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-03 23:45:44.828 INFO  11664 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)] -> xpath: //*[@id="productworks"]]
2024-07-03 23:45:44.831 INFO  11664 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-03 23:45:44.845 INFO  11664 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-03 23:45:44.848 INFO  11664 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)
2024-07-03 23:45:44.974 INFO  11664 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)] -> xpath: //span[contains(text(),'App Setup')]]
2024-07-03 23:45:45.647 INFO  11664 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c638075000d4974f88cdfe5a5e7edf8e)] -> xpath: //span[contains(text(),'Email Configuration')]]
2024-07-03 23:45:45.648 INFO  11664 --- [main] ElementInteractionUtils : Test Passed: pageRedirection
2024-07-03 23:45:45.651 INFO  11664 --- [main] ElementInteractionUtils : Finishing Test Suite: Login Tests
2024-07-03 23:45:46.802 INFO  11664 --- [main] ElementInteractionUtils : Test report opened in browser: C:\Users\Abhijeet\git\SynergyWorks\extentReports\2024_07_03_23_45_18_extentReport.html
2024-07-04 14:13:48.609 INFO  11092 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-04 14:13:49.026 INFO  11092 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-04 14:13:49.091 INFO  11092 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-04 14:13:49.141 INFO  11092 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)
2024-07-04 14:13:50.276 INFO  11092 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-04 14:13:51.383 INFO  11092 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)] -> id: username]
2024-07-04 14:13:51.604 INFO  11092 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)] -> id: password]
2024-07-04 14:14:07.783 INFO  11092 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-04 14:14:07.912 INFO  11092 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-04 14:14:09.960 INFO  11092 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)] -> xpath: //*[@id="productworks"]]
2024-07-04 14:14:09.962 INFO  11092 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-04 14:14:09.971 INFO  11092 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-04 14:14:09.973 INFO  11092 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)
2024-07-04 14:14:10.087 INFO  11092 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)] -> xpath: //span[contains(text(),'App Setup')]]
2024-07-04 14:14:10.726 INFO  11092 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (1516e0690c7682e597155d00de467586)] -> xpath: //span[contains(text(),'Email Configuration')]]
2024-07-04 14:14:10.726 INFO  11092 --- [main] ElementInteractionUtils : Test Passed: pageRedirection
2024-07-04 14:14:10.729 INFO  11092 --- [main] ElementInteractionUtils : Finishing Test Suite: Login Tests
2024-07-04 14:14:12.261 INFO  11092 --- [main] ElementInteractionUtils : Test report opened in browser: C:\Users\Abhijeet\git\SynergyWorks\extentReports\2024_07_04_14_13_41_extentReport.html
2024-07-04 14:15:38.086 INFO  6748 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-04 14:15:38.414 INFO  6748 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-04 14:15:38.482 INFO  6748 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-04 14:15:38.531 INFO  6748 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)
2024-07-04 14:15:39.810 INFO  6748 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-04 14:15:40.916 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> id: username]
2024-07-04 14:15:41.133 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> id: password]
2024-07-04 14:15:57.071 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-04 14:15:57.197 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-04 14:15:59.223 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //*[@id="productworks"]]
2024-07-04 14:15:59.226 INFO  6748 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-04 14:15:59.239 INFO  6748 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-04 14:15:59.243 INFO  6748 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)
2024-07-04 14:15:59.359 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //span[contains(text(),'App Setup')]]
2024-07-04 14:16:00.022 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //span[contains(text(),'Email Configuration')]]
2024-07-04 14:16:00.170 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //*[@id="collapseBtn"]]
2024-07-04 14:16:00.246 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //input[@id='username']]
2024-07-04 14:16:00.503 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //input[@id='email']]
2024-07-04 14:16:00.721 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //input[@id='password']]
2024-07-04 14:16:00.912 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //select[@id='tls']]
2024-07-04 14:16:00.958 ERROR 6748 --- [main] ElementInteractionUtils : Unable to set text in webElement: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //select[@id='tls']]
2024-07-04 14:16:00.990 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //select[@id='tls']]
2024-07-04 14:16:01.142 INFO  6748 --- [main] ElementInteractionUtils : Successfully selected the value 'Yes' from the dropdown list: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //select[@id='tls']]
2024-07-04 14:16:01.185 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //input[@id='port']]
2024-07-04 14:16:01.461 INFO  6748 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //input[@id='host']]
2024-07-04 14:16:01.762 INFO  6748 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (c9525e09d3f2a4c073083d584f940c24)] -> xpath: //button[@id='addEmailConfigButton']]
2024-07-04 14:16:01.763 INFO  6748 --- [main] ElementInteractionUtils : Test Passed: pageRedirection
2024-07-04 14:16:01.768 INFO  6748 --- [main] ElementInteractionUtils : Finishing Test Suite: Login Tests
2024-07-04 14:16:03.128 INFO  6748 --- [main] ElementInteractionUtils : Test report opened in browser: C:\Users\Abhijeet\git\SynergyWorks\extentReports\2024_07_04_14_15_33_extentReport.html
2024-07-04 14:19:26.177 INFO  11016 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-04 14:19:26.422 INFO  11016 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-04 14:19:26.460 INFO  11016 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-04 14:19:26.489 INFO  11016 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)
2024-07-04 14:19:27.841 INFO  11016 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-04 14:19:28.970 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> id: username]
2024-07-04 14:19:29.156 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> id: password]
2024-07-04 14:19:45.061 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-04 14:19:45.184 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-04 14:19:47.365 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //*[@id="productworks"]]
2024-07-04 14:19:47.368 INFO  11016 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-04 14:19:47.380 INFO  11016 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-04 14:19:47.385 INFO  11016 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)
2024-07-04 14:19:47.520 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //span[contains(text(),'App Setup')]]
2024-07-04 14:19:48.258 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //span[contains(text(),'Email Configuration')]]
2024-07-04 14:19:48.380 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //*[@id="collapseBtn"]]
2024-07-04 14:19:48.424 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //input[@id='username']]
2024-07-04 14:19:48.694 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //input[@id='email']]
2024-07-04 14:19:48.888 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //input[@id='password']]
2024-07-04 14:19:49.078 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //select[@id='tls']]
2024-07-04 14:19:49.110 ERROR 11016 --- [main] ElementInteractionUtils : Unable to set text in webElement: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //select[@id='tls']]
2024-07-04 14:19:49.140 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //select[@id='tls']]
2024-07-04 14:19:49.289 INFO  11016 --- [main] ElementInteractionUtils : Successfully selected the value 'Yes' from the dropdown list: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //select[@id='tls']]
2024-07-04 14:19:49.341 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //input[@id='port']]
2024-07-04 14:19:49.505 INFO  11016 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //input[@id='host']]
2024-07-04 14:19:49.795 INFO  11016 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (7c85cd1dc24dfb92318b8301140342da)] -> xpath: //button[@id='addEmailConfigButton']]
2024-07-04 14:19:49.800 WARN  11016 --- [main] AlertUtils : No alert present to get text from.
2024-07-04 14:19:49.801 INFO  11016 --- [main] ElementInteractionUtils : Test Passed: pageRedirection
2024-07-04 14:19:49.805 INFO  11016 --- [main] ElementInteractionUtils : Finishing Test Suite: Login Tests
2024-07-04 14:19:51.045 INFO  11016 --- [main] ElementInteractionUtils : Test report opened in browser: C:\Users\Abhijeet\git\SynergyWorks\extentReports\2024_07_04_14_19_21_extentReport.html
2024-07-04 14:25:00.237 INFO  11048 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-04 14:25:00.572 INFO  11048 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-04 14:25:00.622 INFO  11048 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-04 14:25:00.660 INFO  11048 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)
2024-07-04 14:25:01.769 INFO  11048 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-04 14:25:02.957 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> id: username]
2024-07-04 14:25:03.197 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> id: password]
2024-07-04 14:25:20.310 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-04 14:25:20.551 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-04 14:25:22.868 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //*[@id="productworks"]]
2024-07-04 14:25:22.872 INFO  11048 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-04 14:25:22.904 INFO  11048 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-04 14:25:22.912 INFO  11048 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)
2024-07-04 14:25:23.078 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //span[contains(text(),'App Setup')]]
2024-07-04 14:25:24.045 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //span[contains(text(),'Email Configuration')]]
2024-07-04 14:25:24.389 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //*[@id="collapseBtn"]]
2024-07-04 14:25:24.464 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //input[@id='username']]
2024-07-04 14:25:24.882 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //input[@id='email']]
2024-07-04 14:25:25.341 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //input[@id='password']]
2024-07-04 14:25:25.737 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //select[@id='tls']]
2024-07-04 14:25:25.796 ERROR 11048 --- [main] ElementInteractionUtils : Unable to set text in webElement: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //select[@id='tls']]
2024-07-04 14:25:25.866 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //select[@id='tls']]
2024-07-04 14:25:26.081 INFO  11048 --- [main] ElementInteractionUtils : Successfully selected the value 'Yes' from the dropdown list: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //select[@id='tls']]
2024-07-04 14:25:26.158 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //input[@id='port']]
2024-07-04 14:25:26.526 INFO  11048 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //input[@id='host']]
2024-07-04 14:25:27.064 INFO  11048 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (87a9727b6a405c834b8b658490c1e422)] -> xpath: //button[@id='addEmailConfigButton']]
2024-07-04 14:25:27.218 INFO  11048 --- [main] ElementInteractionUtils : Test Passed: pageRedirection
2024-07-04 14:25:27.223 INFO  11048 --- [main] ElementInteractionUtils : Finishing Test Suite: Login Tests
2024-07-04 14:25:29.047 INFO  11048 --- [main] ElementInteractionUtils : Test report opened in browser: C:\Users\Abhijeet\git\SynergyWorks\extentReports\2024_07_04_14_24_55_extentReport.html
2024-07-04 17:05:43.018 INFO  7916 --- [main] ElementInteractionUtils : Starting Test Suite: Login Tests
2024-07-04 17:05:43.464 INFO  7916 --- [main] ElementInteractionUtils : ExtentReport initialized with SparkReporter
2024-07-04 17:05:43.504 INFO  7916 --- [main] ElementInteractionUtils : Starting Test: verifyLoginisworking
2024-07-04 17:05:43.546 INFO  7916 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)
2024-07-04 17:05:44.906 INFO  7916 --- [main] SynergyConnect : URL:https://test30.synergyapps.in
2024-07-04 17:05:46.228 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> id: username]
2024-07-04 17:05:46.525 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> id: password]
2024-07-04 17:06:03.056 INFO  7916 --- [main] ElementInteractionUtils : Clicked on element: Proxy element for: DefaultElementLocator 'By.xpath: //button[text()='Login']'
2024-07-04 17:06:03.245 INFO  7916 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //*[@id="app"]/div/div[1]/nav[1]/div[1]/div[1]/a/em]
2024-07-04 17:06:05.669 INFO  7916 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //*[@id="productworks"]]
2024-07-04 17:06:05.672 INFO  7916 --- [main] ElementInteractionUtils : Test Passed: verifyLoginisworking
2024-07-04 17:06:05.688 INFO  7916 --- [main] ElementInteractionUtils : Starting Test: pageRedirection
2024-07-04 17:06:05.695 INFO  7916 --- [main] ElementInteractionUtils : WebDriver initialized in ElementInteractionUtils: ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)
2024-07-04 17:06:05.984 INFO  7916 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //span[contains(text(),'App Setup')]]
2024-07-04 17:06:06.867 INFO  7916 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //span[contains(text(),'Email Configuration')]]
2024-07-04 17:06:07.146 INFO  7916 --- [main] ElementInteractionUtils : Clicked on element: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //*[@id="collapseBtn"]]
2024-07-04 17:06:07.254 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //input[@id='username']]
2024-07-04 17:06:07.682 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //input[@id='email']]
2024-07-04 17:06:08.105 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //input[@id='password']]
2024-07-04 17:06:08.501 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //select[@id='tls']]
2024-07-04 17:06:08.593 ERROR 7916 --- [main] ElementInteractionUtils : Unable to set text in webElement: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //select[@id='tls']]
2024-07-04 17:06:08.654 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //select[@id='tls']]
2024-07-04 17:06:08.910 INFO  7916 --- [main] ElementInteractionUtils : Successfully selected the value 'Yes' from the dropdown list: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //select[@id='tls']]
2024-07-04 17:06:08.980 INFO  7916 --- [main] ElementInteractionUtils : Element is visible: [[ChromeDriver: chrome on windows (ae43d29d3821cacdb6e084d6f0d40d10)] -> xpath: //input[@id='port']]
